(0,0)!(0,0)!(2,0)!(0,0)!([46],0)!(0,0)!;(0,0)(2,0)([46],0);(0,0)!(1x,0)!(2,0)([3x6],0);(0,0)!(1x,0)!(2,0)([3x6],0)
(0,0)!(0,0)!(2,0)!(0,0)!([64],0)!(0,0)!;(0,0)(2,0)([64],0);(0,0)!(1x,0)!(2,0)([63x],0);(0,0)!(1x,0)!(2,0)([63x],0)
(0,0)!(0,0)!(2,0)!(0,0)!(a,0)!(0,0)!;(0,0)(2,0)(a,0);(2,0)(2,0)(8,0);(2,0)(2,0)(8,0)
(0,0)!(0,0)!(2,0)!(0,1)!([45],0)!(0,0)!;(0,0)(2,0)!(0,1)!([45],0);(0,0)!(1x,0)!(2,0)!(0,1)!([3x1],0)!(0,4)!;(0,0)!(1x,2)!(2,0)!(0,1)!([3x1],0)!(0,2)!
(0,0)!(0,0)!(2,0)!(0,1)!([54],0)!(0,0)!;(0,0)(2,0)!(0,1)!([54],0);(0,0)!(1x,0)!(2,0)!(0,1)!([13x],0)!(0,4)!;(0,0)!(1x,2)!(2,0)!(0,1)!([13x],0)!(0,2)!
(0,0)!(0,0)!(2,0)!(0,5)!(5,0)!(0,0)!;(0,0)(2,0)!(0,5)!(5,0);(2,0)(2,0)!(0,3)!(1,0)!(0,4)!;(2,0)!(0,2)!(2,0)!(0,3)!(1,0)!(0,2)!
(0,0)!(0,0)!(2,0)!(0,6)!(4,0)!(0,0)!;(0,0)(2,0)!(0,6)!(4,0);(0,3x)!(1x,0)!(2,0)!(0,3x)!(3x,0);(0,2)!(1x,0)!(2,1x)!(0,3x)!(3x,0)
(0,0)!(0,0)!(6,0)!(0,0)!(6,0)!(0,0)!;(0,0)(6,0)(6,0);(2,0)(4,0)(6,0);(2,0)(4,0)(6,0)
(0,0)!(0,0)!(6,0)!(0,1)!(5,0)!(0,0)!;(0,0)(6,0)!(0,1)!(5,0);(2,0)(4,0)!(0,1)!(1,0)!(0,4)!;(2,0)!(0,2)!(4,0)!(0,1)!(1,0)!(0,2)!
(0,0)!(0,0)!(6,0)!(0,6)!(0,0)!(0,0)!;(0,0)(6,0)!(0,6)(0,0)!;(0,3x)(3x,0)!;(0,2)!(1x,0)!(3x,1x)!(0,3x)(2,0)!
(0,0)!(0,0)!(7,0)!(0,1)!(4,0)!(0,0)!;(0,0)(7,0)!(0,1)!(4,0);(0,0)!(1x,0)!(3,0)!(0,1)!(3x,0)!(0,4)!;(0,0)!(1x,2)!(3,0)!(0,1)!(3x,0)!(0,2)!
(0,0)!(0,0)!(7,0)!(0,5)!(0,0)!(0,0)!;(0,0)(7,0)!(0,5)(0,0)!;(0,0)(3,0)!(0,1)!(4,0)!(0,4)!;(2,0)!(0,2)!(3,0)!(0,1)!(2,0)!(0,2)!
